,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
0,28450,201705010000,31.00,,,-1.00
1,28450,201705010020,30.00,,,-1.00
2,28450,201705010050,30.00,,,-1.00
3,28450,201705010100,31.00,,,-1.00
4,28450,201705010120,30.00,,,-1.00
5,28450,201705010150,30.00,,,-1.00
6,28450,201705010200,31.00,,,-1.00
7,28450,201705010220,30.00,,,-1.00
8,28450,201705010250,30.00,,,-1.00
9,28450,201705010300,31.00,,,-1.00
10,28450,201705010320,30.00,,,-1.00
11,28450,201705010350,30.00,,,-1.00
12,28450,201705010400,31.00,,,-1.00
13,28450,201705010420,30.00,,,-1.00
14,28450,201705010450,30.00,,,-1.00
15,28450,201705010500,31.00,,,-1.00
16,28450,201705010520,30.00,,,-1.00
17,28450,201705010550,30.00,,,-1.00
18,28450,201705010600,31.00,34.00,31.00,-1.00
19,28450,201705010620,30.00,,,-1.00
20,28450,201705010650,30.00,,,-1.00
21,28450,201705010700,30.00,,,-1.00
22,28450,201705010720,30.00,,,-1.00
23,28450,201705010750,32.00,,,0.00
24,28450,201705010800,32.00,,,0.00
25,28450,201705010820,32.00,,,0.00
26,28450,201705010850,34.00,,,1.00
27,28450,201705010900,34.00,,,1.00
28,28450,201705010920,34.00,,,1.00
29,28450,201705010950,36.00,,,2.00
30,28450,201705011000,37.00,,,3.00
31,28450,201705011020,36.00,,,2.00
32,28450,201705011050,37.00,,,3.00
33,28450,201705011100,37.00,,,3.00
34,28450,201705011120,37.00,,,3.00
35,28450,201705011150,39.00,,,4.00
36,28450,201705011200,40.00,,,4.00
37,28450,201705011220,39.00,,,4.00
38,28450,201705011250,39.00,,,4.00
39,28450,201705011300,41.00,,,5.00
40,28450,201705011320,39.00,,,4.00
41,28450,201705011350,41.00,,,5.00
42,28450,201705011400,41.00,,,5.00
43,28450,201705011420,41.00,,,5.00
44,28450,201705011450,41.00,,,5.00
45,28450,201705011500,42.00,,,6.00
46,28450,201705011520,43.00,,,6.00
47,28450,201705011550,43.00,,,6.00
48,28450,201705011600,44.00,,,7.00
49,28450,201705011620,43.00,,,6.00
50,28450,201705011650,43.00,,,6.00
51,28450,201705011700,43.00,,,6.00
52,28450,201705011720,43.00,,,6.00
53,28450,201705011750,43.00,,,6.00
54,28450,201705011800,42.00,44.00,30.00,6.00
55,28450,201705011820,41.00,,,5.00
56,28450,201705011850,41.00,,,5.00
57,28450,201705011900,40.00,,,4.00
58,28450,201705011920,39.00,,,4.00
59,28450,201705011950,39.00,,,4.00
60,28450,201705012000,38.00,,,3.00
61,28450,201705012020,39.00,,,4.00
62,28450,201705012050,37.00,,,3.00
63,28450,201705012100,38.00,,,3.00
64,28450,201705012120,37.00,,,3.00
65,28450,201705012150,37.00,,,3.00
66,28450,201705012200,37.00,,,3.00
67,28450,201705012220,37.00,,,3.00
68,28450,201705012250,36.00,,,2.00
69,28450,201705012300,36.00,,,2.00
70,28450,201705012320,36.00,,,2.00
71,28450,201705012350,36.00,,,2.00
72,28450,201705020000,36.00,,,2.00
73,28450,201705020020,36.00,,,2.00
74,28450,201705020050,36.00,,,2.00
75,28450,201705020100,36.00,,,2.00
76,28450,201705020120,36.00,,,2.00
77,28450,201705020150,36.00,,,2.00
78,28450,201705020200,36.00,,,2.00
79,28450,201705020220,36.00,,,2.00
80,28450,201705020250,37.00,,,3.00
81,28450,201705020300,37.00,,,3.00
82,28450,201705020320,37.00,,,3.00
83,28450,201705020350,37.00,,,3.00
84,28450,201705020400,38.00,,,3.00
85,28450,201705020420,37.00,,,3.00
86,28450,201705020450,39.00,,,4.00
87,28450,201705020500,39.00,,,4.00
88,28450,201705020520,39.00,,,4.00
89,28450,201705020550,39.00,,,4.00
90,28450,201705020600,41.00,42.00,35.00,5.00
91,28450,201705020620,39.00,,,4.00
92,28450,201705020650,41.00,,,5.00
93,28450,201705020700,41.00,,,5.00
94,28450,201705020720,41.00,,,5.00
95,28450,201705020750,41.00,,,5.00
96,28450,201705020800,43.00,,,6.00
97,28450,201705020820,41.00,,,5.00
98,28450,201705020850,41.00,,,5.00
99,28450,201705020900,43.00,,,6.00
100,28450,201705020920,43.00,,,6.00
101,28450,201705020950,43.00,,,6.00
102,28450,201705021000,45.00,,,7.00
103,28450,201705021020,43.00,,,6.00
104,28450,201705021050,41.00,,,5.00
105,28450,201705021100,42.00,,,6.00
106,28450,201705021120,43.00,,,6.00
107,28450,201705021150,43.00,,,6.00
108,28450,201705021200,44.00,,,7.00
109,28450,201705021220,39.00,,,4.00
110,28450,201705021250,37.00,,,3.00
111,28450,201705021300,39.00,,,4.00
112,28450,201705021320,41.00,,,5.00
113,28450,201705021350,39.00,,,4.00
114,28450,201705021400,40.00,,,4.00
115,28450,201705021420,39.00,,,4.00
116,28450,201705021450,39.00,,,4.00
117,28450,201705021500,40.00,,,4.00
118,28450,201705021520,39.00,,,4.00
119,28450,201705021550,39.00,,,4.00
120,28450,201705021600,38.00,,,3.00
121,28450,201705021620,37.00,,,3.00
122,28450,201705021650,37.00,,,3.00
123,28450,201705021700,38.00,,,3.00
124,28450,201705021720,37.00,,,3.00
125,28450,201705021750,36.00,,,2.00
126,28450,201705021800,37.00,45.00,36.00,3.00
127,28450,201705021820,36.00,,,2.00
128,28450,201705021850,36.00,,,2.00
129,28450,201705021900,36.00,,,2.00
130,28450,201705021920,36.00,,,2.00
131,28450,201705021950,36.00,,,2.00
132,28450,201705022000,36.00,,,2.00
133,28450,201705022020,36.00,,,2.00
134,28450,201705022050,34.00,,,1.00
135,28450,201705022100,35.00,,,2.00
136,28450,201705022120,34.00,,,1.00
137,28450,201705022150,34.00,,,1.00
138,28450,201705022200,34.00,,,1.00
139,28450,201705022220,34.00,,,1.00
140,28450,201705022250,34.00,,,1.00
141,28450,201705022300,33.00,,,1.00
142,28450,201705022320,34.00,,,1.00
143,28450,201705022350,34.00,,,1.00
144,28450,201705030000,34.00,,,1.00
145,28450,201705030020,36.00,,,2.00
146,28450,201705030050,36.00,,,2.00
147,28450,201705030100,35.00,,,2.00
148,28450,201705030120,36.00,,,2.00
149,28450,201705030150,36.00,,,2.00
150,28450,201705030200,35.00,,,2.00
151,28450,201705030220,36.00,,,2.00
152,28450,201705030250,36.00,,,2.00
153,28450,201705030300,36.00,,,2.00
154,28450,201705030320,36.00,,,2.00
155,28450,201705030400,36.00,,,2.00
156,28450,201705030420,36.00,,,2.00
157,28450,201705030450,36.00,,,2.00
158,28450,201705030500,36.00,,,2.00
159,28450,201705030520,36.00,,,2.00
160,28450,201705030550,36.00,,,2.00
161,28450,201705030600,37.00,37.00,33.00,3.00
162,28450,201705030620,37.00,,,3.00
163,28450,201705030650,37.00,,,3.00
164,28450,201705030700,37.00,,,3.00
165,28450,201705030720,37.00,,,3.00
166,28450,201705030750,37.00,,,3.00
167,28450,201705030800,38.00,,,3.00
